,uid,time,score_five_stars,num_five_stars,score_four_stars,num_four_stars,score_highest_rating,num_highest_rating,score_average_rating,num_average_rating,score_total_entity_involved,num_total_entity_involved,score_comment_count,num_comment_count,score_project_complete_num,num_project_complete_num,score_upload_count,num_upload_count,score_repos,num_repos,score_total_ppl_impacted,num_total_ppl_impacted,score_total_revenue,num_total_revenue,score_social_num,social_num,score_sum_num_visitors,sum_num_visitors,score_part_num_visitors,part_num_visitors,score_likes_value,num_likes_value,score_followers,num_followers,score_followers_sub,num_followers_sub,score_forum_count,num_forum_count,score_num_skills,num_skills,score_count_rating,count_rating,score_sum_num_views,sum_num_views,score_num_rate_give,num_rate_give,score_num_comment_give,num_comment_give,score_following,num_following,score_competition,num_competition,score_num_click,num_click,score_university,university,score_company,company,score_num_interests,num_interests,project_files_size_total,types_of_files_total,numberof_recent_uploads,num_recent_active_days_L180D,num_recent_viewing_others_L180D,num_days_last_login,num_days_last_upload
0,0,2022-03-16 06:00:06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,2.63889,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
1,1,2021-08-18 17:28:10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,100.0,google,0.0,0,0.0,0.0,0.0,0,0,0,0
2,89,2022-03-16 06:00:17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,5.29006,1,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
3,107,2021-11-12 09:45:41,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
4,108,2021-11-12 09:45:38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
5,110,2021-11-12 09:45:33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
6,154,2022-03-16 06:00:10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',0.0,'',0.0,0,0.0,0.0,0.0,0,0,0,0
7,163,2022-03-16 06:00:13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',100.0,'AEBS',0.0,0,0.0,0.0,0.0,0,0,0,0
8,167,2022-03-16 06:00:04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,5.29006,1,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',100.0,'None',0.0,0,0.0,0.0,0.0,0,0,0,0
9,169,2022-03-16 06:00:28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',100.0,'Institut Teknologi Sepuluh Nopember',83.0935,9,0.0,0.0,0.0,0,0,0,0
10,180,2022-03-16 06:00:19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',100.0,'WB',0.0,0,0.0,0.0,0.0,0,0,0,0
11,194,2022-03-16 06:00:22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,'',100.0,'无',0.0,0,0.0,0.0,0.0,0,0,0,0
