,uid,quality,engagement,outcome,capacity,participation,score,rank
0,4758,99.13124,20.0,39.917339999999996,18.24819,30.54084407923753,40.569963542186514,1.0
1,16152,55.46828000000001,16.60725,47.505082942806276,49.247930000000004,25.74493169898107,35.63927780541983,2.0
2,8926,76.43688,9.996780000000001,0.0,34.80278775963144,38.0528001371109,30.98898416954683,3.0
3,9934,62.53412,18.86841,1.0584120000000001,41.4566,28.443961051351394,28.914175254378392,4.0
4,3787,50.88815,4.84922,24.873782942806276,30.022297759631442,36.24433541975841,28.552050378393258,5.0
5,3346,62.14215,6.6072500000000005,0.0,35.19612,37.21687432562717,27.415586211175608,6.0
6,2263,42.945666,11.215800000000002,25.17308,45.12587,23.387074146279762,26.916651440958333,7.0
7,3522,46.70539,3.7742199999999997,39.639999108878484,41.226705,10.057932516209537,24.211408544136795,8.0
8,2139,42.67363,3.7742199999999997,0.0,62.55991,24.624578576301673,22.98913740136447,9.0
9,3606,36.42975,2.58686,50.64321430498044,38.259295,3.5353339399078605,21.87498887807068,10.0
10,5205,36.735816,1.31583,0.0,50.298947759631446,28.967197209703258,21.074935029872684,11.0
11,9159,44.577875999999996,6.6072500000000005,24.873782942806276,50.316065,2.506842,20.826882169705126,12.0
12,16937,0.0,0.0,59.284909731774704,67.12304999999999,4.443809439907861,19.970316394893644,13.0
13,1842,42.945666,1.31583,0.0,38.24819,24.427969232942395,19.475633265223873,14.0
14,1891,30.91388,2.58686,24.873782942806276,30.0,16.793336656690652,18.96475999357851,15.0
15,1213,46.637556000000004,12.58686,0.6635360000000001,23.88029,16.101544,18.90911008,16.0
16,4115,0.0,0.0,24.873782942806276,48.65905,27.57881143145677,18.038434130513025,17.0
17,16215,36.735816,1.31583,0.0,56.155322759631446,12.385973982994914,17.13495752639435,18.0
18,2065,37.16654,2.58686,0.0,53.46265275963144,11.134487555457245,16.843998446683802,19.0
19,2586,46.97878000000001,6.6072500000000005,0.0,52.74545499999999,0.7852950000000001,16.5912576,20.0
20,805,46.6793,4.84922,0.0,35.747965,8.395953416568315,16.206709556639126,21.0
21,5261,46.6793,4.84922,0.0,35.747965,8.395953416568315,16.206709556639126,21.0
22,7296,0.0,0.0,60.0,39.86069,2.1101199999999998,16.1741164,23.0
23,1876,44.67162999999999,3.7742199999999997,0.0,52.21351,1.0580120000000002,15.508570759999998,24.0
24,2909,0.0,0.0,58.56044282836251,36.72928,1.0580120000000002,15.244636669105253,25.0
